Household size,Acreage,Fertilizer amount,Laborers,Latitude,Longitude,Education_Degree,Education_Diploma,Education_Primary,Education_Secondary,Gender_Male,Age bracket_36-45,Age bracket_46-55,Age bracket_56-65,Age bracket_above 65,Main credit source_Family,Main credit source_Savings,Farm records_Yes,Main advisory source_Internet,Main advisory source_Public gatherings,Main advisory source_Radio,Main advisory source_Television,Extension provider_KALRO,Extension provider_National Government,Extension provider_Private Provider,Advisory format_SMS text,Advisory language_Kiswahili,Advisory language_Vernacular
0.625,0.0666666666666666,0.1666666666666666,0.0,0.3846153846153832,0.3888888888888715,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0.625,0.3333333333333333,0.1666666666666666,0.0,0.3589743589743577,0.3055555555555571,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
0.75,0.3333333333333333,0.2708333333333333,0.1666666666666666,0.6410256410256405,0.2777777777777714,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
0.0,0.0,0.2083333333333333,0.1666666666666666,0.6410256410256405,0.2222222222222143,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
0.25,0.3333333333333333,0.0625,0.0,0.9487179487179472,0.0833333333333143,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0.375,0.0666666666666666,0.0,0.1666666666666666,0.2307692307692299,0.6111111111110858,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
0.875,0.0666666666666666,0.2708333333333333,0.0,0.7948717948717938,0.1111111111111142,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
0.5,0.0666666666666666,0.2708333333333333,0.0,0.3333333333333339,0.6111111111110858,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.625,0.2,0.0625,0.0,0.2307692307692299,0.6111111111110858,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
0.375,0.4,0.0625,0.0,0.3589743589743577,0.2222222222222143,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
0.875,0.3333333333333333,0.0208333333333333,0.0,0.5897435897435894,0.2777777777777714,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0.25,0.0666666666666666,0.0208333333333333,0.1666666666666666,0.8205128205128194,0.3055555555555571,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.25,0.2,0.0104166666666666,0.0,0.7435897435897427,0.1111111111111142,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.875,0.0666666666666666,0.0625,0.1666666666666666,0.7435897435897427,0.2499999999999858,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.625,0.1333333333333333,0.0104166666666666,0.1666666666666666,0.2051282051282044,0.6111111111110858,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.625,0.0666666666666666,0.0416666666666666,0.1666666666666666,0.3589743589743577,0.3611111111111,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
0.625,0.0666666666666666,0.0,0.1666666666666666,1.0,0.0833333333333143,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
0.625,0.0,0.2708333333333333,0.0,0.7692307692307683,0.3055555555555571,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.625,0.0,0.2708333333333333,0.3333333333333333,0.3333333333333339,0.3055555555555571,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.5,0.0666666666666666,0.0229166666666666,0.0,0.7692307692307683,0.3333333333333286,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0.5,0.2,0.0625,0.4166666666666667,0.5897435897435894,0.1666666666666572,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0.25,0.4,0.1666666666666666,0.0,0.8461538461538449,0.0555555555555429,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.125,0.2,0.1666666666666666,0.0,0.6410256410256405,0.3055555555555571,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0.625,0.0666666666666666,0.0208333333333333,0.1666666666666666,0.7179487179487172,0.4166666666666714,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.5,0.2,0.125,0.1666666666666666,0.5897435897435894,0.1666666666666572,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0.375,0.0666666666666666,0.0625,0.1666666666666666,0.2307692307692299,0.6111111111110858,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0.5,0.0,0.0,0.0,0.6666666666666661,0.2499999999999858,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
